USERID,GENDER,RACE,PROVINCE,CHANNEL2,AGE_GROUP,DAY_OF_WEEK,TIME_BLOCK_SAST,TOTAL_SESSIONS,TOTAL_VIEWING_MINUTES,AVG_SESSION_LENGTH,UNIQUE_VIEWERS
808971,male,black,Gauteng,Boomerang,Adults,Mon,Afternoon,1,0.233333,0.233333000000,1
808934,male,indian_asian,Kwazulu Natal,Supersport Live Events,Adults,Sun,Night,1,1.500000,1.500000000000,1
1106115,female,black,Western Cape,Africa Magic,Youth,Mon,Night,1,6.433333,6.433333000000,1
868925,male,indian_asian,Gauteng,SuperSport Blitz,Youth,Tue,Afternoon,1,0.333333,0.333333000000,1
808966,male,black,Free State,Supersport Live Events,Youth,Tue,Night,1,34.100000,34.100000000000,1
866231,male,coloured,Western Cape,ICC Cricket World Cup 2011,Youth,Tue,Afternoon,1,0.733333,0.733333000000,1
861773,female,black,Limpopo,Trace TV,Youth,Sat,Night,1,0.000000,0.000000000000,1
809011,male,coloured,Western Cape,ICC Cricket World Cup 2011,Adults,Thu,Afternoon,1,6.533333,6.533333000000,1
788725,male,black,Free State,Channel O,Youth,Mon,Night,1,0.550000,0.550000000000,1
866205,male,indian_asian,Gauteng,ICC Cricket World Cup 2011,Adults,Sat,Night,1,42.133333,42.133333000000,1
809158,male,indian_asian,Gauteng,ICC Cricket World Cup 2011,Youth,Sun,Afternoon,1,85.433333,85.433333000000,1
820627,male,black,Gauteng,Vuzu,Youth,Wed,Late Night,1,1.600000,1.600000000000,1
809216,male,black,Gauteng,CNN,Adults,Fri,Morning,1,24.566667,24.566667000000,1
809229,male,coloured,Western Cape,Channel O,Youth,Fri,Afternoon,1,0.000000,0.000000000000,1
779642,male,black,Gauteng,Channel O,Adults,Thu,Late Night,1,9.300000,9.300000000000,1
624257,male,black,Gauteng,Cartoon Network,Youth,Tue,Afternoon,1,0.133333,0.133333000000,1
788978,male,other,Western Cape,E! Entertainment,Adults,Thu,Night,1,15.833333,15.833333000000,1
930545,male,white,Mpumalanga,kykNET,Adults,Wed,Afternoon,1,1.350000,1.350000000000,1
940303,male,None,Western Cape,ICC Cricket World Cup 2011,Youth,Fri,Afternoon,1,1.366667,1.366667000000,1
832404,male,black,Gauteng,Boomerang,Youth,Sat,Afternoon,1,32.383333,32.383333000000,1
789201,male,black,Limpopo,SuperSport Blitz,Adults,Sat,Morning,1,1.466667,1.466667000000,1
939792,male,indian_asian,Eastern Cape,Supersport Live Events,Youth,Fri,Morning,1,1.400000,1.400000000000,1
771978,male,black,Kwazulu Natal,Boomerang,Youth,Fri,Morning,1,0.516667,0.516667000000,1
904526,male,coloured,Gauteng,ICC Cricket World Cup 2011,Youth,Sat,Afternoon,1,0.133333,0.133333000000,1
2203607,male,coloured,Western Cape,Africa Magic,Adults,Thu,Night,1,0.883333,0.883333000000,1
820661,male,black,Gauteng,SuperSport Blitz,Adults,Sun,Afternoon,1,0.466667,0.466667000000,1
809229,male,coloured,Western Cape,Boomerang,Youth,Fri,Afternoon,1,0.816667,0.816667000000,1
809230,male,black,Gauteng,Africa Magic,Adults,Sat,Late Night,1,24.716667,24.716667000000,1
788930,male,white,North West,DStv Events 1,Youth,Sun,Late Night,1,4.000000,4.000000000000,1
809247,male,None,Eastern Cape,Channel O,Adults,Sun,Night,1,84.450000,84.450000000000,1
809251,male,None,Western Cape,Cartoon Network,Youth,Tue,Afternoon,1,4.266667,4.266667000000,1
809251,male,None,Western Cape,Cartoon Network,Youth,Tue,Morning,1,0.066667,0.066667000000,1
930367,male,indian_asian,Western Cape,Vuzu,Youth,Wed,Late Night,1,0.483333,0.483333000000,1
809311,male,coloured,Western Cape,Supersport Live Events,Youth,Thu,Night,1,0.700000,0.700000000000,1
2203762,male,black,Mpumalanga,Trace TV,Youth,Tue,Afternoon,1,0.800000,0.800000000000,1
787730,male,white,Mpumalanga,Cartoon Network,Youth,Mon,Night,1,4.450000,4.450000000000,1
793905,female,black,Limpopo,Africa Magic,Adults,Fri,Night,1,1.500000,1.500000000000,1
786446,female,None,Free State,Africa Magic,Adults,Mon,Night,1,2.783333,2.783333000000,1
789082,male,indian_asian,Limpopo,Supersport Live Events,Youth,Tue,Late Night,1,216.233333,216.233333000000,1
779770,male,coloured,Gauteng,Channel O,Adults,Sat,Afternoon,1,2.950000,2.950000000000,1
803967,male,black,Kwazulu Natal,Trace TV,Adults,Thu,Night,1,0.000000,0.000000000000,1
2420956,male,indian_asian,Limpopo,SawSee,Adults,Wed,Morning,1,1.850000,1.850000000000,1
787954,None,None,None,SawSee,Kids,Fri,Late Night,1,5.800000,5.800000000000,1
821166,male,black,North West,Trace TV,Youth,Fri,Late Night,1,2.900000,2.900000000000,1
2000160,male,black,North West,CNN,Adults,Mon,Late Night,1,0.566667,0.566667000000,1
789319,male,black,Western Cape,SuperSport Blitz,Adults,Wed,Afternoon,1,1.333333,1.333333000000,1
809658,male,black,Western Cape,CNN,Adults,Sun,Night,1,0.500000,0.500000000000,1
821232,male,other,Gauteng,Africa Magic,Adults,Thu,Night,1,0.716667,0.716667000000,1
893183,male,indian_asian,Gauteng,Supersport Live Events,Youth,Thu,Afternoon,1,39.466667,39.466667000000,1
809780,male,coloured,Western Cape,kykNET,Youth,Wed,Afternoon,1,6.500000,6.500000000000,1
2015326,male,black,Kwazulu Natal,Channel O,Youth,Sat,Afternoon,1,12.200000,12.200000000000,1
789474,male,None,Eastern Cape,SuperSport Blitz,Adults,Sat,Morning,1,33.633333,33.633333000000,1
930955,male,black,Gauteng,Boomerang,Adults,Tue,Morning,1,0.800000,0.800000000000,1
809824,male,coloured,Western Cape,SuperSport Blitz,Adults,Sat,Morning,1,3.700000,3.700000000000,1
772680,male,black,Gauteng,Channel O,Youth,Thu,Night,1,0.150000,0.150000000000,1
780217,female,indian_asian,Kwazulu Natal,Supersport Live Events,Youth,Fri,Night,1,0.666667,0.666667000000,1
2204601,male,black,Eastern Cape,CNN,Adults,Mon,Late Night,1,0.000000,0.000000000000,1
821676,female,black,Limpopo,M-Net,Adults,Thu,Afternoon,1,1.216667,1.216667000000,1
821843,male,black,Limpopo,Boomerang,Youth,Fri,Afternoon,1,4.200000,4.200000000000,1
845245,male,None,Gauteng,SuperSport Blitz,Youth,Thu,Morning,1,5.200000,5.200000000000,1
