UserID,Channel2,RecordDate2,Duration2
903994,Trace TV,2016/01/04 18:09,00:02:00
802352,ICC Cricket World Cup 2011,2016/03/30 09:04,00:10:06
866125,ICC Cricket World Cup 2011,2016/03/30 17:01,00:00:42
2425604,ICC Cricket World Cup 2011,2016/03/25 15:23,00:00:10
793571,SawSee,2016/02/02 17:18,00:01:33
793571,Boomerang,2016/03/18 16:56,00:00:10
793571,Channel O,2016/03/20 04:25,00:17:15
793571,Boomerang,2016/02/03 06:43,00:01:13
819248,Channel O,2016/03/31 10:01,00:04:45
820321,Cartoon Network,2016/01/09 08:25,00:00:40
892453,Supersport Live Events,2016/03/24 09:09,00:00:06
892453,ICC Cricket World Cup 2011,2016/03/26 15:33,05:01:12
828799,Channel O,2016/02/28 08:09,00:00:00
787656,Channel O,2016/02/15 08:40,00:11:15
939566,Supersport Live Events,2016/01/09 15:40,00:22:02
771778,Supersport Live Events,2016/02/05 13:47,00:04:12
808915,SuperSport Blitz,2016/02/20 05:34,00:01:14
808915,Supersport Live Events,2016/02/21 13:45,00:00:50
808916,E! Entertainment,2016/02/19 11:03,00:01:42
808916,Boomerang,2016/02/19 20:15,00:00:00
831679,Supersport Live Events,2016/03/01 03:17,00:00:50
808917,Break in transmission,2016/02/27 18:13,00:00:26
808917,Supersport Live Events,2016/02/28 20:20,00:00:24
939570,kykNET,2016/03/30 23:52,00:01:24
880213,Africa Magic,2016/03/30 19:13,00:00:11
2255459,SawSee,2016/03/09 08:51,00:00:15
2255459,Channel O,2016/03/29 02:23,00:07:54
808921,Trace TV,2016/03/02 06:01,00:18:27
808921,Channel O,2016/03/06 15:58,00:00:48
831683,CNN,2016/02/25 19:48,00:00:42
831683,Africa Magic,2016/02/25 15:59,00:00:00
831683,ICC Cricket World Cup 2011,2016/03/04 07:21,00:00:00
761775,Cartoon Network,2016/02/04 14:12,00:02:15
761775,SuperSport Blitz,2016/01/25 15:59,00:01:14
866131,Boomerang,2016/03/07 17:16,00:00:03
904019,Africa Magic,2016/03/29 16:03,00:14:58
939575,Africa Magic,2016/03/10 21:30,00:01:22
808923,SuperSport Blitz,2016/02/21 18:03,00:01:12
808923,Trace TV,2016/02/17 18:45,00:13:21
933014,Boomerang,2016/03/31 23:24,00:00:00
892461,SawSee,2016/03/12 08:24,00:01:18
892461,SawSee,2016/03/09 03:54,00:00:00
2255463,Boomerang,2016/03/31 13:17,00:00:54
808926,Supersport Live Events,2016/02/19 07:20,01:29:08
808926,Channel O,2016/02/21 06:27,00:01:48
808926,Trace TV,2016/02/02 10:17,00:01:06
808926,Supersport Live Events,2016/02/25 06:38,00:03:14
808926,Cartoon Network,2016/02/18 12:00,00:21:11
771783,Trace TV,2016/02/01 12:51,00:04:45
771783,SawSee,2016/01/30 21:43,00:00:13
2368357,SuperSport Blitz,2016/03/02 12:32,00:03:52
2368357,Supersport Live Events,2016/03/08 10:46,00:00:56
2368357,Cartoon Network,2016/03/08 15:28,00:00:00
2368357,Trace TV,2016/03/08 15:28,00:00:00
788616,SuperSport Blitz,2016/01/27 12:03,00:00:06
771785,ICC Cricket World Cup 2011,2016/02/28 16:53,00:00:46
630977,Trace TV,2016/01/16 09:52,00:00:15
808928,Channel O,2016/02/13 19:35,00:05:30
808928,ICC Cricket World Cup 2011,2016/03/01 12:15,00:00:00
831694,Africa Magic,2016/03/01 22:07,00:00:02
808929,Africa Magic,2016/01/11 18:18,00:00:57
808929,Cartoon Network,2016/01/24 18:35,01:32:32
892465,Cartoon Network,2016/03/13 18:39,00:02:31
892465,Channel O,2016/03/14 10:38,00:00:36
892465,CNN,2016/03/18 14:04,00:00:37
892465,Vuzu,2016/03/19 07:23,00:00:20
892465,Africa Magic,2016/03/31 10:45,00:00:08
892465,Africa Magic,2016/03/30 14:13,00:00:26
820335,ICC Cricket World Cup 2011,2016/03/08 09:19,00:22:56
820335,Cartoon Network,2016/03/19 05:10,00:00:06
820335,ICC Cricket World Cup 2011,2016/03/12 09:38,00:00:38
820335,ICC Cricket World Cup 2011,2016/03/12 09:48,00:01:52
820335,ICC Cricket World Cup 2011,2016/03/09 13:14,00:27:16
820335,ICC Cricket World Cup 2011,2016/03/26 12:44,00:04:22
830836,Boomerang,2016/03/02 11:07,00:00:07
770963,Supersport Live Events,2016/03/24 09:45,00:23:04
770963,ICC Cricket World Cup 2011,2016/02/25 09:28,00:06:10
904035,E! Entertainment,2016/03/29 19:34,00:05:42
868888,ICC Cricket World Cup 2011,2016/03/30 11:55,00:06:54
808930,Supersport Live Events,2016/02/22 08:29,00:01:28
808930,ICC Cricket World Cup 2011,2016/03/02 09:38,00:04:30
808930,ICC Cricket World Cup 2011,2016/03/11 08:40,00:00:00
808930,ICC Cricket World Cup 2011,2016/02/24 11:23,00:03:56
808930,ICC Cricket World Cup 2011,2016/02/24 08:33,00:03:44
808930,Supersport Live Events,2016/02/27 17:11,00:00:28
808930,ICC Cricket World Cup 2011,2016/02/23 15:26,00:00:08
808930,ICC Cricket World Cup 2011,2016/03/30 12:19,00:23:08
879414,CNN,2016/03/31 21:19,00:00:52
771791,Channel O,2016/03/14 11:51,00:02:54
771791,M-Net,2016/03/06 05:02,00:01:43
819259,Supersport Live Events,2016/02/26 15:53,00:01:44
2285528,ICC Cricket World Cup 2011,2016/03/15 10:20,00:53:50
868892,Trace TV,2016/03/12 14:47,00:05:54
808971,Boomerang,2016/02/08 10:45,00:00:14
868892,Channel O,2016/03/10 10:50,00:01:42
866251,Boomerang,2016/03/10 19:13,00:04:31
779369,CNN,2016/02/11 19:35,00:20:39
779369,E! Entertainment,2016/01/20 05:20,00:06:16
779369,CNN,2016/01/18 13:06,00:13:19
1281997,Cartoon Network,2016/02/20 16:51,00:00:35
615057,Channel O,2016/01/10 07:34,00:14:12
786055,Channel O,2016/01/19 18:42,00:01:03
786055,DStv Events 1,2016/01/18 17:49,00:02:25
850656,Africa Magic,2016/03/05 21:12,00:00:17
850656,Channel O,2016/03/06 05:25,00:00:00
850656,Africa Magic,2016/03/06 07:09,00:00:00
2368365,ICC Cricket World Cup 2011,2016/03/30 11:17,00:38:12
764296,E! Entertainment,2016/02/04 08:42,00:02:26
764296,Trace TV,2016/02/01 20:10,00:00:00
779373,CNN,2016/02/28 05:58,00:06:27
771793,Supersport Live Events,2016/01/05 21:33,00:04:56
771793,Supersport Live Events,2016/01/10 04:43,00:00:00
771793,Trace TV,2016/02/18 20:23,00:00:42
771793,Trace TV,2016/02/12 00:38,00:02:33
1106084,Channel O,2016/03/22 18:50,00:11:39
1106084,Supersport Live Events,2016/03/05 17:30,00:00:54
1106084,ICC Cricket World Cup 2011,2016/03/06 09:20,00:11:24
1106084,Trace TV,2016/03/09 04:54,00:03:24
1106084,Channel O,2016/03/09 18:00,00:04:39
868895,Trace TV,2016/03/14 23:35,00:13:48
868895,ICC Cricket World Cup 2011,2016/03/12 12:18,00:38:02
868895,Trace TV,2016/03/12 12:19,00:01:09
868895,ICC Cricket World Cup 2011,2016/03/16 00:02,00:02:00
868895,Channel O,2016/03/16 00:14,00:03:18
808934,Supersport Live Events,2016/03/24 12:17,00:12:40
808934,Boomerang,2016/03/11 16:58,00:05:30
808934,Supersport Live Events,2016/02/06 06:56,00:00:00
808934,Trace TV,2016/02/06 10:38,00:04:03
808934,Supersport Live Events,2016/02/06 19:55,00:03:38
808934,Trace TV,2016/03/06 12:38,00:04:57
808934,SuperSport Blitz,2016/02/12 17:16,00:02:42
808934,Supersport Live Events,2016/03/06 13:58,00:01:02
808934,Supersport Live Events,2016/03/06 14:00,00:01:38
808934,Supersport Live Events,2016/03/27 16:07,00:01:30
939592,Supersport Live Events,2016/03/27 14:51,00:17:32
771796,SuperSport Blitz,2016/02/05 15:17,00:27:14
771796,Supersport Live Events,2016/03/24 10:46,00:02:28
771796,Channel O,2016/02/06 16:10,00:00:51
771796,Supersport Live Events,2016/02/06 16:18,00:00:18
771796,Supersport Live Events,2016/03/27 16:58,00:24:10
771796,Supersport Live Events,2016/03/26 17:00,01:44:38
889840,Supersport Live Events,2016/03/20 20:18,00:00:00
2368371,Supersport Live Events,2016/03/26 10:25,00:08:12
617535,Africa Magic,2016/01/11 20:08,00:00:11
617961,Boomerang,2016/01/31 22:06,00:09:11
771797,SuperSport Blitz,2016/02/03 13:31,00:00:32
67584,Supersport Live Events,2016/01/18 15:04,00:05:58
808936,Supersport Live Events,2016/03/24 12:31,00:05:50
808936,Supersport Live Events,2016/02/18 10:25,00:00:00
590480,Africa Magic,2016/01/04 16:11,00:02:47
831713,Trace TV,2016/03/14 07:08,00:07:06
831713,Trace TV,2016/03/07 14:45,00:15:21
817216,ICC Cricket World Cup 2011,2016/02/24 15:57,00:02:56
817216,M-Net,2016/02/25 21:13,00:00:00
2406478,Supersport Live Events,2016/03/26 13:50,00:07:00
793592,Channel O,2016/03/21 12:34,01:06:21
904063,Cartoon Network,2016/03/26 22:02,00:00:17
904063,Cartoon Network,2016/03/26 20:09,00:00:15
586459,Cartoon Network,2016/01/02 09:49,00:05:10
791320,ICC Cricket World Cup 2011,2016/03/05 12:57,00:00:14
791320,ICC Cricket World Cup 2011,2016/03/06 09:33,00:13:04
791320,ICC Cricket World Cup 2011,2016/03/06 08:32,00:13:54
771802,Boomerang,2016/01/02 12:42,00:09:55
771802,Supersport Live Events,2016/01/30 14:11,01:23:54
771802,CNN,2016/01/01 11:25,00:00:21
771802,Supersport Live Events,2016/01/08 14:50,00:06:06
771802,CNN,2016/01/01 02:37,00:01:06
771802,Supersport Live Events,2016/02/12 16:51,01:19:52
808941,SuperSport Blitz,2016/03/01 00:30,00:00:32
600713,Channel O,2016/01/01 14:32,00:47:18
600713,Channel O,2016/01/13 14:27,00:00:27
2407123,Boomerang,2016/03/14 07:40,00:00:44
2407123,Cartoon Network,2016/03/08 21:04,00:08:40
2407123,ICC Cricket World Cup 2011,2016/03/06 09:48,00:00:06
939600,Africa Magic,2016/03/19 02:07,00:00:14
939600,ICC Cricket World Cup 2011,2016/03/20 14:34,00:00:42
939600,Supersport Live Events,2016/03/20 15:36,00:01:14
939602,Channel O,2016/03/22 16:45,00:15:03
939602,Cartoon Network,2016/03/18 20:38,00:00:00
939602,Supersport Live Events,2016/03/18 08:19,00:00:12
939602,Cartoon Network,2016/03/18 20:05,00:00:11
939602,Cartoon Network,2016/03/20 12:27,00:00:49
939602,ICC Cricket World Cup 2011,2016/03/28 13:33,00:01:46
939602,Channel O,2016/03/28 13:46,00:05:00
939602,Channel O,2016/03/25 04:46,00:45:00
939602,Africa Magic,2016/03/25 04:26,00:03:32
939602,Channel O,2016/03/29 09:28,00:04:30
939602,Africa Magic,2016/03/21 16:36,00:02:07
866315,Boomerang,2016/03/17 22:32,00:00:35
939603,ICC Cricket World Cup 2011,2016/03/30 08:47,00:34:22
808945,Break in transmission,2016/03/01 19:19,00:00:58
301011,SuperSport Blitz,2016/01/08 17:03,00:01:08
831720,ICC Cricket World Cup 2011,2016/03/01 15:04,00:04:16
831720,ICC Cricket World Cup 2011,2016/03/01 14:59,00:10:10
831721,Channel O,2016/03/02 19:29,00:04:39
831721,SawSee,2016/03/02 19:33,00:02:05
895195,Trace TV,2016/03/23 19:06,00:07:48
1289864,Trace TV,2016/01/26 07:40,00:00:00
808948,SuperSport Blitz,2016/02/11 05:04,00:02:00
808948,Channel O,2016/02/18 03:26,00:00:12
808948,Channel O,2016/02/18 13:46,00:00:57
808948,Channel O,2016/02/24 09:36,00:01:00
808948,Trace TV,2016/03/18 11:42,00:01:24
808948,Channel O,2016/03/18 11:55,00:29:21
808948,Channel O,2016/02/10 19:46,00:00:27
808948,Channel O,2016/03/20 15:49,00:00:18
808948,ICC Cricket World Cup 2011,2016/02/23 11:18,00:14:44
808948,Channel O,2016/02/13 01:05,00:01:42
779395,Cartoon Network,2016/02/14 12:01,00:02:55
779395,Trace TV,2016/02/10 14:07,00:16:48
904090,Boomerang,2016/03/23 17:33,00:00:24
1106115,Africa Magic,2016/01/11 16:06,00:06:26
1106115,Trace TV,2016/01/11 15:33,00:05:57
820361,Supersport Live Events,2016/03/05 17:29,00:02:48
820361,Supersport Live Events,2016/03/20 17:58,00:02:12
820361,SuperSport Blitz,2016/02/27 12:54,00:08:26
820361,Supersport Live Events,2016/02/27 13:14,00:00:20
820361,Supersport Live Events,2016/02/27 16:06,00:00:08
820361,Cartoon Network,2016/03/03 06:11,00:00:06
771816,SawSee,2016/01/01 06:59,00:01:19
771816,Channel O,2016/01/01 07:02,00:00:39
771816,Trace TV,2016/01/01 17:29,00:01:57
771816,Cartoon Network,2016/03/23 11:09,00:01:03
771816,Trace TV,2016/02/06 19:26,00:01:15
771816,Trace TV,2016/02/27 09:32,00:00:00
771816,Trace TV,2016/03/07 03:54,00:01:57
771816,Cartoon Network,2016/03/01 06:27,00:04:14
788649,SuperSport Blitz,2016/01/15 16:12,00:02:38
939606,Cartoon Network,2016/03/30 05:53,00:00:44
831728,SuperSport Blitz,2016/03/12 20:45,00:01:24
939607,ICC Cricket World Cup 2011,2016/03/30 11:56,00:00:46
808949,Africa Magic,2016/02/20 06:53,00:03:41
808949,Africa Magic,2016/02/15 17:52,00:00:29
808949,Africa Magic,2016/03/02 10:21,00:00:23
808949,Africa Magic,2016/02/14 07:56,00:00:25
808949,Boomerang,2016/03/09 08:24,00:01:10
806460,Boomerang,2016/02/13 19:58,00:00:00
460303,Cartoon Network,2016/01/22 16:30,00:01:15
808950,Boomerang,2016/02/18 13:25,00:02:37
808950,Channel O,2016/02/18 13:02,00:01:06
808950,Boomerang,2016/02/18 05:57,00:00:04
808950,Supersport Live Events,2016/02/20 14:29,00:02:54
808950,SuperSport Blitz,2016/03/03 18:08,00:05:38
808950,Channel O,2016/02/18 04:24,00:02:15
808950,Trace TV,2016/02/18 07:37,00:00:12
808950,Channel O,2016/02/18 14:49,00:00:51
808950,Supersport Live Events,2016/03/06 14:41,00:00:16
808950,SuperSport Blitz,2016/03/03 04:23,00:11:20
808950,SuperSport Blitz,2016/03/27 10:37,00:00:22
892644,Boomerang,2016/03/21 07:49,00:04:54
925955,ICC Cricket World Cup 2011,2016/03/30 08:40,00:06:00
771823,Channel O,2016/02/06 11:10,00:01:15
853642,E! Entertainment,2016/03/06 21:22,00:00:00
904101,Trace TV,2016/03/28 20:22,00:01:06
904101,E! Entertainment,2016/03/24 22:59,00:00:00
904101,Africa Magic,2016/03/26 13:21,00:01:23
831732,Trace TV,2016/03/03 11:22,00:10:45
831732,Cartoon Network,2016/03/08 17:51,00:01:23
831732,ICC Cricket World Cup 2011,2016/03/15 22:32,00:00:20
1106137,E! Entertainment,2016/01/08 21:02,00:02:32
1106137,Cartoon Network,2016/01/08 21:13,00:00:00
865372,Boomerang,2016/03/28 06:07,00:01:03
865372,Boomerang,2016/03/27 05:10,00:07:27
2255518,Supersport Live Events,2016/02/05 10:14,00:01:06
2255518,CNN,2016/02/26 13:14,00:00:36
2255518,Break in transmission,2016/02/15 05:24,00:00:21
2255518,ICC Cricket World Cup 2011,2016/02/24 09:54,00:00:00
2255518,Supersport Live Events,2016/01/12 15:23,00:01:02
2255518,Supersport Live Events,2016/01/28 09:45,00:02:06
2255518,Channel O,2016/01/03 14:58,00:00:00
779410,Cartoon Network,2016/01/21 17:19,00:04:11
779410,Trace TV,2016/02/03 12:04,00:02:36
771830,Trace TV,2016/01/01 14:43,00:00:30
507286,Trace TV,2016/01/02 15:59,01:28:33
507286,Cartoon Network,2016/01/04 17:01,00:00:02
507286,Boomerang,2016/01/04 07:31,00:05:36
507286,Cartoon Network,2016/01/04 10:21,00:03:45
507286,CNN,2016/01/01 05:32,00:00:04
507286,Boomerang,2016/01/03 15:00,00:49:11
1293309,ICC Cricket World Cup 2011,2016/03/23 11:03,00:00:00
939619,M-Net,2016/03/13 10:57,00:00:21
939619,SuperSport Blitz,2016/03/13 08:55,00:01:08
988056,E! Entertainment,2016/03/31 17:35,00:00:00
18031,Supersport Live Events,2016/01/28 18:49,00:00:42
18031,CNN,2016/01/06 23:00,00:24:51
808958,SuperSport Blitz,2016/02/21 17:13,00:08:36
